alias_tag,category,posts,aliases,nsfw,canonical_tag,canonical_category,canonical_posts,canonical_has_definition
pterodactyl,general,260,,,pterosaur,general,468,1
scar_through_eyebrow,general,260,,,eyebrow_cut,general,4453,1
shaved_ice_flag,general,260,,,kooribata,general,313,1
tu_ya_(mao_lian),general,260,,,aina_(mao_lian),character,379,1
extra_wings,general,259,,,multiple_wings,general,10485,1
funny_glasses,general,259,,,groucho_glasses,general,365,1
money_in_clothes,general,259,,,tucked_money,general,890,1
benjamin_kirby_tennyson,character,258,,,ben_tennyson,character,588,1
blackbeard_(one_piece),character,258,,,marshall_d._teach,character,407,1
pajamas_party,general,258,,,sleepover,general,426,1
tino_vainamoinen,character,258,,,finland_(hetalia),character,283,1
yuujin_a_(hololive),character,258,,,a-chan_(hololive),character,826,1
bloody_fingers,general,257,,,blood_on_hands,alias,16219,1
money_in_cleavage,general,257,,,tucked_money,general,890,1
orange_kneehighs,general,257,,,orange_socks,general,2127,1
a_bridge_to_the_starry_skies,copyright,256,,,hoshizora_e_kakaru_hashi,copyright,284,1
bloody_breasts,general,256,,,blood_on_breasts,general,1113,1
plamo,general,256,,,model_kit,general,992,1
shirt_pocket,general,256,,,breast_pocket,general,27744,1
tracer_fire,general,256,,,projectile_trail,general,461,1
cefca_palazzo,character,255,,,kefka_palazzo,general,65,1
poor,general,255,,,poverty,general,76,1
tonelico_(fate),character,255,,,aesc_(fate),character,1044,1
claw_(street_fighter),character,254,,,vega_(street_fighter),character,381,1
cumswap,general,254,,,cum_swap,general,599,1
medicine_seller_(mononoke),general,254,,,kusuriuri_(mononoke),character,371,1
odoroki_housuke,character,254,,,apollo_justice,character,910,1
sig_sauer_556,general,254,,,sig_556,general,516,1
fine_(fushigiboshi_no_futago_hime),character,253,,,fine_(futagohime),character,490,1
harapan,general,253,,,stomach_punch,general,784,1
kengo_(housamo),character,253,,,takabushi_kengo,character,363,1
too_many_scars,general,253,,,scars_all_over,general,1422,1
chili,general,252,,,chili_pepper,general,1051,1
drawing_time,general,252,,,completion_time,general,743,1
jennifer_wakeman,character,252,,,jenny_wakeman,character,606,1
astro_(astro_boy),character,251,,,atom_(tetsuwan_atom),character,250,1
dimple_(mob_psycho_100),character,251,,,ekubo_(mob_psycho_100),character,553,1
battle_fist_(boku_no_hero_academia),general,250,,,kendou_itsuka,character,482,1
belt_removed,general,250,,,unworn_belt,general,518,1
marchen_(album),copyright,250,,,maerchen_(sound_horizon),copyright,257,1
torpedo_breasts,general,250,,,pointy_breasts,general,1518,1
ardbert_(ff14),character,249,,,ardbert_hylfyst,character,470,1
bukamon,character,249,,,pukamon,character,600,1
gyakuten_saiban_5,copyright,249,,,phoenix_wright:_ace_attorney_-_dual_destinies,copyright,575,1
gawain_(fairy_knight)_(fate),character,248,,,barghest_(fate),character,2913,1
hedge_(plant),general,248,,,hedge,general,879,1
mc4_(housamo),character,248,,,protagonist_4_(housamo),character,370,1
punk-02,character,248,,,vegapunk_lilith,character,629,1
scowly_nun_(diva),character,248,,,strict_nun_(diva),character,561,1
chinese_window,general,246,,,lattice,general,1093,1
ghetsis_harmonia,character,246,,,ghetsis_(pokemon),character,511,1
kamyu,character,246,,,camyu,character,250,0
boxer_(street_fighter),character,245,,,balrog_(street_fighter),character,313,1
dearche_kings_claudia,character,245,,,lord_dearche,character,268,1
party_blower,general,245,,,party_horn,general,313,0
structural_formula,general,244,,,chemical_structure,general,2480,1
girl_(deemo),character,242,,,alice_(deemo),character,261,1
muzzle_brake,general,242,,,muzzle_device,general,632,1
sekine,character,242,,,sekine_shiori,character,302,1
touhou_gouyoku_ibun,copyright,242,,,sunken_fossil_world,copyright,331,1
bear_paw_hammer,general,241,,,paw_stick,general,379,1
cat_pillow,general,241,,,cat-shaped_pillow,general,350,1
nekonyaa,character,241,,,nekonyaa_(girls_und_panzer),character,156,1
rockman_x_dive,copyright,241,,,mega_man_x_dive,copyright,1788,1
swimsuit_of_perpetual_summer,general,241,,,mash_kyrielight_(swimsuit_of_perpetual_summer),character,625,1
red_earth_(game),copyright,240,,,warzard,copyright,350,1
gray_background,general,239,,,grey_background,general,0,1
lin_yuhsia_(arknights),character,239,,,lin_(arknights),character,848,1
gunzo_(tokyo_houkago_summoners),character,238,,,tamamura_gunzo,character,520,1
headgear_removed,general,238,,,unworn_headgear,general,277,1
priest_staff_(buddhist),general,238,,,shakujou,general,554,1
illyasviel_von_einzbern_(swimsuit_archer)_(fate),character,237,,,illyasviel_von_einzbern_(swimsuit_archer),alias,396,1
shiraishi_utaha,character,237,,,utaha_(blue_archive),character,674,1
uesugi_u_kyouko,character,237,,,uesugi_u._kyouko,character,241,1
leg_cling,general,236,,,hugging_another's_leg,,,0
press-ups,general,236,,,push-ups,general,689,1
thighhigh_boots,general,236,,,thigh_boots,general,125961,1
yugioh_sevens,copyright,236,,,yu-gi-oh!_sevens,copyright,653,1
yuragi_momoka,character,236,,,momoka_(blue_archive),character,405,1
hidden_blade,general,235,,,concealed_weapon,general,525,1
master_4_(housamo),character,235,,,protagonist_4_(housamo),character,370,1
niyah,character,235,,,nia_(xenoblade),character,4273,1
thumb_biting,general,235,,,biting_own_thumb,general,314,1
todo_aoi_(jujutsu_kaisen),general,235,,,toudou_aoi_(jujutsu_kaisen),character,678,1
cat_bell,general,234,,,jingle_bell,general,51920,1
shennong_(tokyo_houkago_summoners),character,234,,,shennong_(housamo),character,390,1
berwald_oxenstierna,character,233,,,sweden_(hetalia),character,261,1
lunar_phases,general,233,,,moon_phases,general,1425,1
money_hold,general,233,,,tucked_money,general,890,1
silence_suzuka,character,233,,,silence_suzuka_(umamusume),character,5224,1
very_perky_breasts,general,233,,,pointy_breasts,general,1518,1
hosomi_(girls_und_panzer),character,232,,,hosomi_shizuko,character,204,1
kiss_meme_chart,general,232,,,kiss_chart,general,267,1
samantha_samsung,character,232,,,samsung_sam,character,454,1
barrett_m107,general,231,,,barrett_m82,general,437,1
machi_(hunter_x_hunter),character,231,,,machi_komacine,character,359,1
nio_(granblue_fantasy),character,231,,,niyon_(granblue_fantasy),character,313,1
pedicure,general,231,,,applying_pedicure,general,494,1
calumon,character,230,,,culumon,character,682,1
five-seven_(gun),general,230,,,fn_five-seven,general,254,1
memory,general,230,,,remembering,general,476,1
haunting_ground,copyright,229,,,demento,copyright,265,1
cowter,general,228,,,couter,general,981,1
kohak_hearts,character,228,,,kohaku_hearts,character,259,1
samanta_(samsung),general,228,,,samsung_sam,character,454,1
bookcase,general,227,,,bookshelf,general,23778,1
ophilia_(octopath_traveler),character,226,,,ophilia_clement,character,81,0
saber_(fate/samurai_remnant),character,226,,,yamato_takeru_(fate),character,1040,1
burning_background,general,225,,,fiery_background,general,868,1
fellatio_under_veil,general,225,,,fellatio_under_mask,general,652,1
holding_guitar_pick,general,225,,,holding_plectrum,general,2093,1
tristan_(fairy_knight)_(fate),character,225,,,baobhan_sith_(fate),character,6439,1
elizabeth_f_beurling,character,224,,,elizabeth_f._beurling,character,228,1
gauntlet,general,224,,,gauntlets,general,69562,1
makuhari-chan,character,224,,,magical_mirai_miku_(2016),character,338,1
osakabe-hime_(swimsuit_archer)_(fate),character,224,,,osakabehime_(swimsuit_archer)_(fate),character,264,1
barbed_penis,general,223,,,spiked_penis,general,1106,1
floaties,general,223,,,inflatable_armbands,general,447,1
hair_pom_pom,general,223,,,pom_pom_hair_ornament,general,9696,1
pozemka_(arknights),character,223,,,pozyomka_(arknights),character,862,1
minazuki_kyoko,character,222,,,minazuki_kyouko,alias,213,1
ronin_(sekaiju),general,222,,,bushidou_(sekaiju),character,331,1
samurai_(sekaiju),general,222,,,bushidou_(sekaiju),character,331,1
shoujo_bubble,general,222,,,bishie_sparkle,general,493,1
armpit_spreading,general,221,,,spread_armpit,general,990,1
brave_perspective,general,221,,,sunrise_stance,general,307,1
drinking_water_fountain,general,221,,,drinking_fountain,general,314,1
schematics,general,221,,,blueprint_(object),general,435,1
spoken_emoticon,general,221,,,spoken_expression,general,1513,1
ghost_stories,copyright,220,,,gakkou_no_kaidan_(anime),copyright,286,1
power_board,general,219,,,power_strip,general,364,1
reizyo_(blue_archive),character,219,,,reijo_(blue_archive),character,954,1
sheer_bodysuit,general,219,,,see-through_bodysuit,general,1409,1
simon_riley,character,219,,,ghost_(modern_warfare_2),character,1080,1
stoat_ears,general,219,,,weasel_ears,general,1905,1
avatar_icon,general,218,,,profile_picture,general,619,1
bunny_earrings,general,218,,,rabbit_earrings,general,424,1
jean_shorts,general,218,,,denim_shorts,general,50893,1
lady_dimitrescu,character,218,,,alcina_dimitrescu,character,1315,1
marpat,general,218,,,digital_camouflage,general,524,1
ace_attorney_4,copyright,217,,,apollo_justice:_ace_attorney,copyright,818,1
beastiality,general,217,,,bestiality,general,30784,1
female_protagonist_(pokemon_sv),character,217,,,juliana_(pokemon),character,3905,1
horkeu_kamui_(tokyo_houkago_summoners),character,217,,,horkeu_kamui,character,401,1
theresa_apocalypse_(starlit_astrologos),character,217,,,zhuge_kongming_(honkai_impact),character,360,1
wanibuchi_akari,character,217,,,akari_(blue_archive),character,628,1
yorha_commander,character,217,,,commander_(nier:automata),character,275,0
25_miku,character,216,,,25-ji_miku,character,717,1
baki_the_grappler,general,216,,,grappler_baki,copyright,438,1
emotionless,general,216,,,expressionless,general,170013,1
skies_of_arcadia,copyright,216,,,eternal_arcadia,copyright,322,1
gold_hair,general,214,,,blonde_hair,general,0,1
hiyoshi_aoi,character,214,,,piyotan_(girls_und_panzer),character,264,1
irie_(angel_beats!),character,214,,,irie_miyuki,character,304,1
no-face_(spirited_away),character,214,,,kaonashi,character,283,1
republic_of_china_(post-1949),general,214,,,taiwan,general,314,1
sealing_wax,general,214,,,wax_seal,general,951,1
swim_cap_removed,general,214,,,unworn_swim_cap,general,311,0
whitebeard_(one_piece),character,214,,,edward_newgate,character,366,1
merlin_(fate/prototype)_(swimsuit_pretender),character,213,,,lady_avalon_(fate),character,644,1
refill_sage,character,213,,,raine_sage,character,302,1
safety_vest,general,213,,,high-visibility_vest,general,942,1
dai_gyakuten_saiban,copyright,212,,,the_great_ace_attorney,copyright,1512,1
flying_skull,general,212,,,floating_skull,general,992,1
gyakuten_saiban_4,copyright,212,,,apollo_justice:_ace_attorney,copyright,818,1
konoe_mina,character,212,,,mina_(blue_archive),character,491,1
mastersmith_(ragnarok_online),general,212,,,whitesmith_(ragnarok_online),character,612,1
soul_hackers,copyright,212,,,devil_summoner:_soul_hackers,copyright,363,0
postbox,general,211,,,postbox_(outgoing_mail),general,369,1
hakui_koyori_(swimsuit),character,210,,,hakui_koyori_(summer),character,565,1
john_mactavish,character,210,,,soap_(modern_warfare_2),character,912,1
alkekengi,general,208,,,chinese_lantern_(plant),general,327,1
hozuki_(plant),general,208,,,chinese_lantern_(plant),general,327,1
lifting_blanket,general,208,,,lifting_covers,general,534,1
model_car,general,208,,,toy_car,general,449,1
physalis_(plant),general,208,,,chinese_lantern_(plant),general,327,1
red_army,general,208,,,soviet_army,general,514,1
roderich_edelstein,character,208,,,austria_(hetalia),character,243,0
bandaged_feet,general,207,,,bandaged_foot,general,1230,1
megakabuterimon,character,207,,,atlurkabuterimon,character,397,1
shiro_(tokyo_houkago_summoners),character,207,,,motoori_shiro,character,397,1
